,place,address
0,송도국제도시베르디움,인천 연수구 송도문화로84번길 84
1,송도더샵센트럴시티,인천광역시 연수구 송도국제대로 261
2,송도웰카운티2단지,인천 연수구 해송로 70
3,미주홀공원,인천시 연수구 해송로 59 갯벌문화관
4,인천재능대학교,인천시 연수구 송도교육로111번길 15
5,해돋이공원,인천광역시 연수구 해돋이로 51 해돋이공원
6,송도성지리벨루스,인천광역시 연수구 신송로6번길 7
7,인천글로벌캠퍼스,인천 연수구 송도문화로 119
8,해찬솔공원,인천시 연수구 송도과학로27번길 76
9,인천송도국제캠핑장,인천 연수구 지식기반로 60
10,솔찬공원,인천시 연수구 컨벤시아대로391번길 20
11,잭니클라우스,인천 연수구 아카데미로 209
12,랜드마크씨티3,인천시 연수구 송도동 400
